name;z3-runtime;z3-result;cvc4-runtime;cvc4-result;noodler-runtime;noodler-result
../formulae/kaluza-hard/eq1.txt.smt2;0.37; sat;0.08; sat;TO;TO
../formulae/kaluza-hard/eq10.txt.smt2;0.01; sat;0.03; sat;0.71; sat
../formulae/kaluza-hard/eq100.txt.smt2;TO;TO;0.05; sat;TO;TO
../formulae/kaluza-hard/eq101.txt.smt2;82.88; sat;0.12; sat;TO;TO
../formulae/kaluza-hard/eq102.txt.smt2;0.02; sat;0.03; sat;0.67; sat
../formulae/kaluza-hard/eq103.txt.smt2;0.93; sat;0.04; sat;44.4; sat
../formulae/kaluza-hard/eq104.txt.smt2;0.06; sat;0.03; sat;129.15; sat
../formulae/kaluza-hard/eq105.txt.smt2;0.36; sat;0.06; sat;TO;TO
../formulae/kaluza-hard/eq106.txt.smt2;0.01; sat;0.03; sat;0.69; sat
../formulae/kaluza-hard/eq107.txt.smt2;0.87; sat;0.08; sat;TO;TO
../formulae/kaluza-hard/eq108.txt.smt2;0.01; sat;0.02; sat;0.67; sat
../formulae/kaluza-hard/eq109.txt.smt2;TO;TO;0.06; sat;TO;TO
../formulae/kaluza-hard/eq11.txt.smt2;0.34; sat;0.09; sat;TO;TO
../formulae/kaluza-hard/eq110.txt.smt2;23.75; sat;0.06; sat;1.14; sat
../formulae/kaluza-hard/eq111.txt.smt2;85.91; sat;0.06; sat;1.11; sat
../formulae/kaluza-hard/eq112.txt.smt2;0.16; sat;0.06; sat;TO;TO
../formulae/kaluza-hard/eq113.txt.smt2;TO;TO;0.04; sat;36.43; sat
../formulae/kaluza-hard/eq114.txt.smt2;0.89; sat;0.04; sat;59.88; sat
../formulae/kaluza-hard/eq115.txt.smt2;0.05; sat;0.02; sat;5.38; sat
../formulae/kaluza-hard/eq116.txt.smt2;TO;TO;0.05; sat;TO;TO
../formulae/kaluza-hard/eq117.txt.smt2;TO;TO;0.08; sat;TO;TO
../formulae/kaluza-hard/eq118.txt.smt2;0.02; sat;0.02; sat;0.65; sat
../formulae/kaluza-hard/eq119.txt.smt2;0.43; sat;0.06; sat;TO;TO
../formulae/kaluza-hard/eq12.txt.smt2;0.03; sat;0.05; sat;0.7; sat
../formulae/kaluza-hard/eq120.txt.smt2;0.01; sat;0.02; sat;0.69; sat
../formulae/kaluza-hard/eq121.txt.smt2;0.11; sat;0.04; sat;44.52; sat
../formulae/kaluza-hard/eq122.txt.smt2;0.06; sat;0.05; sat;44.46; sat
../formulae/kaluza-hard/eq123.txt.smt2;0.19; sat;0.06; sat;TO;TO
../formulae/kaluza-hard/eq124.txt.smt2;0.05; sat;0.02; sat;1.03; sat
../formulae/kaluza-hard/eq125.txt.smt2;0.04; sat;0.04; sat;TO;TO
../formulae/kaluza-hard/eq126.txt.smt2;1.01; sat;0.04; sat;44.09; sat
../formulae/kaluza-hard/eq127.txt.smt2;0.7; sat;0.09; sat;TO;TO
../formulae/kaluza-hard/eq128.txt.smt2;TO;TO;0.05; sat;TO;TO
../formulae/kaluza-hard/eq129.txt.smt2;0.02; sat;0.04; sat;44.87; sat
../formulae/kaluza-hard/eq13.txt.smt2;0.04; sat;0.05; sat;TO;TO
../formulae/kaluza-hard/eq130.txt.smt2;0.43; sat;0.06; sat;TO;TO
../formulae/kaluza-hard/eq131.txt.smt2;0.15; sat;0.03; sat;3.49; sat
../formulae/kaluza-hard/eq132.txt.smt2;1.06; sat;0.07; sat;TO;TO
../formulae/kaluza-hard/eq133.txt.smt2;TO;TO;0.06; sat;TO;TO
../formulae/kaluza-hard/eq134.txt.smt2;0.06; sat;0.03; sat;127.69; sat
../formulae/kaluza-hard/eq135.txt.smt2;TO;TO;0.33; sat;TO;TO
../formulae/kaluza-hard/eq136.txt.smt2;0.1; sat;0.04; sat;44.45; sat
../formulae/kaluza-hard/eq137.txt.smt2;0.43; sat;0.06; sat;TO;TO
../formulae/kaluza-hard/eq138.txt.smt2;1.11; sat;0.04; sat;5.12; sat
../formulae/kaluza-hard/eq139.txt.smt2;0.03; sat;0.04; sat;44.65; sat
../formulae/kaluza-hard/eq14.txt.smt2;0.06; sat;0.02; sat;5.23; sat
../formulae/kaluza-hard/eq140.txt.smt2;0.85; sat;0.09; sat;TO;TO
../formulae/kaluza-hard/eq141.txt.smt2;0.03; sat;0.05; sat;59.35; sat
../formulae/kaluza-hard/eq142.txt.smt2;0.06; sat;0.03; sat;5.37; sat
../formulae/kaluza-hard/eq143.txt.smt2;TO;TO;0.05; sat;TO;TO
../formulae/kaluza-hard/eq144.txt.smt2;1.45; sat;0.06; sat;TO;TO
../formulae/kaluza-hard/eq145.txt.smt2;0.02; sat;0.04; sat;44.52; sat
../formulae/kaluza-hard/eq146.txt.smt2;0.56; sat;0.03; sat;55.72; sat
../formulae/kaluza-hard/eq147.txt.smt2;0.02; sat;0.02; sat;0.69; sat
../formulae/kaluza-hard/eq148.txt.smt2;TO;TO;0.13; sat;TO;TO
../formulae/kaluza-hard/eq149.txt.smt2;3.03; sat;0.07; sat;TO;TO
../formulae/kaluza-hard/eq15.txt.smt2;TO;TO;0.09; sat;TO;TO
../formulae/kaluza-hard/eq150.txt.smt2;0.1; sat;0.05; sat;58.67; sat
../formulae/kaluza-hard/eq151.txt.smt2;0.32; sat;0.05; sat;58.96; sat
../formulae/kaluza-hard/eq152.txt.smt2;0.06; sat;0.04; sat;TO;TO
../formulae/kaluza-hard/eq153.txt.smt2;0.04; sat;0.06; sat;TO;TO
../formulae/kaluza-hard/eq154.txt.smt2;0.38; sat;0.06; sat;TO;TO
