name;noodler-4cdee77f-runtime;noodler-4cdee77f-version;noodler-4cdee77f-result;noodler-4cdee77f-time;noodler-4cdee77f-min-runtime;noodler-4cdee77f-min-version;noodler-4cdee77f-min-result;noodler-4cdee77f-min-time
../formulae/pyex-hard-z3-enum/smt/eq0.txt.smt2;1.61; 4cdee77f; unsat; 0.11;1.52; 4cdee77f; unsat; 0.11
../formulae/pyex-hard-z3-enum/smt/eq1.txt.smt2;1.61; 4cdee77f; unsat; 0.1;1.57; 4cdee77f; unsat; 0.11
../formulae/pyex-hard-z3-enum/smt/eq10.txt.smt2;1.59; 4cdee77f; unsat; 0.11;1.63; 4cdee77f; unsat; 0.11
../formulae/pyex-hard-z3-enum/smt/eq100.txt.smt2;26.4; 4cdee77f; sat; 25.81;1.6; 4cdee77f; sat; 0.11
../formulae/pyex-hard-z3-enum/smt/eq1000.txt.smt2;1.6; 4cdee77f; unsat; 0.09;1.57; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10000.txt.smt2;1.57; 4cdee77f; unsat; 0.08;1.65; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10001.txt.smt2;1.59; 4cdee77f; unsat; 0.08;1.59; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10002.txt.smt2;1.62; 4cdee77f; unsat; 0.08;1.61; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10003.txt.smt2;1.59; 4cdee77f; unsat; 0.08;1.63; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10004.txt.smt2;1.56; 4cdee77f; unsat; 0.08;1.58; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10005.txt.smt2;TO;TO;TO;TO;1.62; 4cdee77f; sat; 0.12
../formulae/pyex-hard-z3-enum/smt/eq10006.txt.smt2;1.59; 4cdee77f; unsat; 0.08;1.67; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10007.txt.smt2;1.58; 4cdee77f; unsat; 0.09;1.59; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10008.txt.smt2;1.59; 4cdee77f; unsat; 0.08;1.6; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10009.txt.smt2;1.61; 4cdee77f; unsat; 0.08;1.56; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq1001.txt.smt2;1.61; 4cdee77f; unsat; 0.09;1.65; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10010.txt.smt2;1.6; 4cdee77f; unsat; 0.08;1.64; 4cdee77f; unsat; 0.09
