name;cvc4-runtime;cvc4-result;cvc5-runtime;cvc5-result;retro-runtime;retro-result;noodler-1c71b61d-min-runtime;noodler-1c71b61d-min-version;noodler-1c71b61d-min-result;noodler-1c71b61d-min-time;z3-runtime;z3-result;z3strRE-runtime;z3strRE-result;sloth-runtime;sloth-result;ostrich-runtime;ostrich-result;woorpje-runtime;woorpje-result;noodler-c69385be-min-runtime;noodler-c69385be-min-version;noodler-c69385be-min-result;noodler-c69385be-min-time
../formulae/woorpje/smt/01_track_1.smt;0.01; sat;0.0; sat;0.19; sat;1.53; 1c71b61d; sat; 0.04;0.01; sat;0.01; sat;1.8; sat;1.83; sat;0.0; sat;1.57; c69385be; sat; 0.04
../formulae/woorpje/smt/01_track_10.smt;0.02; sat;0.04; sat;0.2; sat;1.6; 1c71b61d; sat; 0.06;0.01; sat;0.02; sat;22.83; sat;7.12; sat;0.01; sat;1.58; c69385be; sat; 0.06
../formulae/woorpje/smt/01_track_100.smt;TO;TO;TO;TO;0.22; sat;TO;TO;TO;TO;0.47; sat;0.83; sat;50.41; sat;17.49; sat;0.1; sat;TO;TO;TO;TO
../formulae/woorpje/smt/01_track_101.smt;0.03; sat;0.04; sat;0.42; sat;1.62; 1c71b61d; sat; 0.12;0.03; sat;0.04; sat;TO;TO;8.74; sat;0.02; sat;1.7; c69385be; sat; 0.12
../formulae/woorpje/smt/01_track_102.smt;0.02; sat;0.01; sat;0.21; sat;3.03; 1c71b61d; sat; 1.55;0.01; sat;0.01; sat;9.31; sat;2.21; sat;0.01; sat;3.06; c69385be; sat; 1.59
../formulae/woorpje/smt/01_track_103.smt;0.01; sat;0.01; sat;0.23; sat;1.54; 1c71b61d; sat; 0.06;0.03; sat;0.01; sat;21.71; sat;5.08; sat;0.02; sat;1.62; c69385be; sat; 0.06
../formulae/woorpje/smt/01_track_104.smt;0.02; sat;0.02; sat;0.21; sat;1.59; 1c71b61d; sat; 0.06;0.01; sat;0.08; sat;18.49; sat;7.27; sat;0.01; sat;1.56; c69385be; sat; 0.05
../formulae/woorpje/smt/01_track_105.smt;0.02; sat;0.0; sat;0.18; sat;17.65; 1c71b61d; sat; 16.36;0.01; sat;0.01; sat;TO;TO;5.71; sat;0.01; sat;18.11; c69385be; sat; 16.72
../formulae/woorpje/smt/01_track_106.smt;0.03; sat;0.03; sat;0.2; sat;1.53; 1c71b61d; sat; 0.06;0.01; sat;0.01; sat;TO;TO;3.35; sat;0.02; sat;12.49; c69385be; sat; 10.99
../formulae/woorpje/smt/01_track_107.smt;0.01; sat;0.01; sat;0.23; sat;1.52; 1c71b61d; sat; 0.05;0.01; sat;0.01; sat;36.97; sat;7.15; sat;0.01; sat;1.57; c69385be; sat; 0.05
../formulae/woorpje/smt/01_track_108.smt;0.01; sat;0.01; sat;8.93; sat;1.57; 1c71b61d; sat; 0.05;0.0; sat;0.01; sat;TO;TO;2.11; sat;0.0; sat;1.55; c69385be; sat; 0.05
../formulae/woorpje/smt/01_track_109.smt;0.04; sat;0.14; sat;0.19; sat;TO;TO;TO;TO;34.25; sat;2.11; sat;TO;TO;11.05; sat;0.83; sat;TO;TO;TO;TO
../formulae/woorpje/smt/01_track_11.smt;0.01; sat;0.02; sat;0.34; sat;1.55; 1c71b61d; sat; 0.04;0.08; sat;0.63; sat;6.48; sat;3.21; sat;0.03; sat;1.55; c69385be; sat; 0.04
../formulae/woorpje/smt/01_track_110.smt;0.03; sat;0.03; sat;0.18; sat;1.54; 1c71b61d; sat; 0.06;0.05; sat;0.03; sat;TO;TO;7.14; sat;0.06; sat;1.62; c69385be; sat; 0.06
../formulae/woorpje/smt/01_track_111.smt;TO;TO;TO;TO;0.21; unsat;TO;TO;TO;TO;TO;TO;43.43; sat;TO;TO;21.7; sat;0.78; sat;TO;TO;TO;TO
../formulae/woorpje/smt/01_track_112.smt;0.01; sat;0.0; sat;0.2; sat;1.55; 1c71b61d; sat; 0.04;0.01; sat;0.01; sat;2.09; sat;2.76; sat;0.0; sat;1.58; c69385be; sat; 0.04
../formulae/woorpje/smt/01_track_113.smt;0.03; sat;0.03; sat;0.25; sat;1.6; 1c71b61d; sat; 0.08;0.03; sat;0.66; sat;TO;TO;9.7; sat;0.03; sat;1.63; c69385be; sat; 0.08
../formulae/woorpje/smt/01_track_114.smt;0.01; sat;0.01; sat;0.17; sat;1.5; 1c71b61d; sat; 0.05;0.01; sat;0.01; sat;3.67; sat;4.51; sat;0.01; sat;1.57; c69385be; sat; 0.05
../formulae/woorpje/smt/01_track_115.smt;0.02; sat;0.02; sat;0.19; sat;1.54; 1c71b61d; sat; 0.04;0.01; sat;0.01; sat;2.43; sat;4.18; sat;0.0; sat;1.58; c69385be; sat; 0.04
../formulae/woorpje/smt/01_track_116.smt;0.02; sat;0.01; sat;0.3; sat;1.55; 1c71b61d; sat; 0.05;0.13; sat;0.11; sat;22.07; sat;4.82; sat;0.02; sat;1.58; c69385be; sat; 0.05
../formulae/woorpje/smt/01_track_117.smt;0.02; sat;0.03; sat;0.25; sat;1.53; 1c71b61d; sat; 0.09;0.04; sat;0.04; sat;TO;TO;17.94; sat;0.03; sat;1.6; c69385be; sat; 0.09
../formulae/woorpje/smt/01_track_118.smt;0.01; sat;0.01; sat;0.22; sat;1.55; 1c71b61d; sat; 0.07;0.01; sat;0.01; sat;TO;TO;10.84; sat;0.02; sat;1.55; c69385be; sat; 0.07
../formulae/woorpje/smt/01_track_119.smt;0.01; sat;0.0; sat;0.2; sat;1.56; 1c71b61d; sat; 0.04;0.01; sat;0.0; sat;2.07; sat;3.2; sat;0.0; sat;1.56; c69385be; sat; 0.04
../formulae/woorpje/smt/01_track_12.smt;0.02; sat;0.01; sat;0.2; sat;1.59; 1c71b61d; sat; 0.05;0.01; sat;0.01; sat;TO;TO;20.78; sat;0.01; sat;1.57; c69385be; sat; 0.05
../formulae/woorpje/smt/01_track_120.smt;0.03; sat;0.03; sat;0.19; sat;1.64; 1c71b61d; sat; 0.1;0.03; sat;15.81; sat;TO;TO;8.01; sat;0.3; sat;1.65; c69385be; sat; 0.1
../formulae/woorpje/smt/01_track_121.smt;0.01; sat;0.01; sat;1.25; sat;1.56; 1c71b61d; sat; 0.04;0.01; sat;0.01; sat;25.46; sat;2.08; sat;0.01; sat;1.62; c69385be; sat; 0.04
../formulae/woorpje/smt/01_track_122.smt;0.02; sat;0.04; sat;0.19; sat;1.62; 1c71b61d; sat; 0.08;0.02; sat;0.01; sat;3.52; sat;5.62; sat;0.03; sat;7.23; c69385be; sat; 5.78
../formulae/woorpje/smt/01_track_123.smt;0.06; sat;0.05; sat;0.19; unsat;TO;TO;TO;TO;0.02; sat;0.35; sat;TO;TO;5.58; sat;0.02; sat;TO;TO;TO;TO
