name;z3-runtime;z3-result;cvc5-runtime;cvc5-result;z3-noodler-runtime;z3-noodler-b3b361a-result;z3-noodler-8dd2385-runtime;z3-noodler-8dd2385-result;z3-noodler-6724479-runtime;z3-noodler-6724479-result;z3-noodler-c680fa4-runtime;z3-noodler-c680fa4-result
../formulae/slent/slent_kaluza_1629_sink.smt2;0.01; unsat;0.01; unsat;0.02; unsat;0.01; unsat;0.01; unsat;0.02; unsat
../formulae/slent/slent_kaluza_1245_sink.smt2;0.01; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_1073_sink.smt2;0.02; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_424_sink.smt2;0.01; unsat;0.0; unsat;0.01; unsat;0.01; unsat;0.01; unsat;0.02; unsat
../formulae/slent/slent_stranger_str_rep_21218_sink.smt2;0.02; unsat;0.09; unsat;0.73; unsat;0.74; unsat;0.66; unsat;0.52; unsat
../formulae/slent/slent_stranger_str_rep_17961_sink.smt2;0.02; unsat;0.06; unsat;1.23; unsat;1.28; unsat;1.11; unsat;0.03; unsat
../formulae/slent/slent_kaluza_562_sink.smt2;0.04; sat;0.01; sat;0.02; sat;0.02; sat;0.01; sat;0.02; sat
../formulae/slent/slent_kaluza_1838_sink.smt2;0.02; unsat;0.0; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.02; unsat
../formulae/slent/slent_kaluza_1523_sink.smt2;0.02; sat;0.0; sat;0.02; sat;0.01; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_1009_sink.smt2;0.02; sat;0.0; sat;0.02; sat;0.02; sat;0.01; sat;0.02; sat
../formulae/slent/slent_stranger_lan_rep_5239_sink.smt2;0.94; sat;2.71; sat;0.51; sat;0.54; sat;0.48; sat;0.11; sat
../formulae/slent/slent_kaluza_204_sink.smt2;0.04; sat;0.09; sat;0.54; sat;TO;TO;TO;TO;TO;TO
../formulae/slent/slent_stranger_str_rep_10220_sink.smt2;0.02; unsat;0.06; unsat;0.02; unsat;0.01; unsat;0.02; unsat;0.02; unsat
../formulae/slent/slent_kaluza_518_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.01; sat;0.02; sat;0.02; sat
../formulae/slent/slent_stranger_str_rep_19137_sink.smt2;0.03; unsat;0.08; unsat;5.0; unsat;5.47; unsat;10.71; unsat;1.02; unsat
../formulae/slent/slent_kaluza_342_sink.smt2;0.01; sat;0.0; sat;0.02; sat;0.01; sat;0.01; sat;0.01; sat
../formulae/slent/slent_kaluza_945_sink.smt2;0.03; sat;0.01; sat;0.02; sat;0.02; sat;0.01; sat;0.02; sat
